"day","year","month","date","time","address","district","accident_types","suspect_vehicle","victim_vehicle"
"Monday","2018","1","1","0:15","urip sumuharjo","panakkukang","T","R4","NOV"
"Monday","2018","1","1","0:30","sungai saddang baru","makassar","TL","R2","R2"
"Monday","2018","1","1","19:45","boulevard","panakkukang","TL","R4","R4"
"Monday","2018","1","1","20:10","urip sumuharjo","panakkukang","TK","R2","R2"
"Monday","2018","1","1","20:30","tinumbu","bontoala","TM","R2","NOV"
"Tuesday","2018","1","2","6:30","kecaping","manggala","OC","R2","NOV"
"Tuesday","2018","1","2","7:00","urip sumuharjo","panakkukang","OC","R2","NOV"
"Wednesday","2018","1","3","5:55","boulevard","panakkukang","TL","R4","NOV"
"Monday","2018","1","1","1:30","urip sumuharjo","panakkukang","OC","R2","NOV"
"Tuesday","2018","1","2","19:30","insinyur sutami","tamalanrea","TK","R4","R2"
"Wednesday","2018","1","3","6:00","batara bira","biringkanaya","TK","R2","R2"
"Wednesday","2018","1","3","9:00","perintis kemerdekaan","tamalanrea","OC","R2","NOV"
"Wednesday","2018","1","3","8:05","tol reformasi","panakkukang","TK","R2","R2"
"Tuesday","2018","1","2","11:00","borong jambu raya","manggala","OC","TR","NOV"
"Tuesday","2018","1","2","16:00","jenderal sudirman","ujung pandang","TL","R4","R2"
"Thursday","2018","1","4","18:00","perintis kemerdekaan","biringkanaya","TL","R4","R4"
"Thursday","2018","1","4","1:30","cendrawasih","mariso","TK","R2","R2"
"Thursday","2018","1","4","21:30","sam ratulangi","mariso","TL","R2","NOV"
"Wednesday","2018","1","3","11:30","veteran utara","makassar","TM","R2","NOV"
"Wednesday","2018","1","3","0:05","perintis kemerdekaan","biringkanaya","TK","R2","R4"
"Friday","2018","1","5","12:30","kijang","makassar","TK","R2","R2"
"Monday","2018","1","1","20:00","andi mappaodang","tamalate","OC","R2","NOV"
"Friday","2018","1","5","23:00","pajaiang","biringkanaya","OC","R2","NOV"
"Thursday","2018","1","4","4:00","dr. leimena","manggala","OC","R4","NOV"
"Wednesday","2018","1","3","22:30","malengkeri","tamalate","TL","R2","R2"
"Thursday","2018","1","4","18:00","perintis kemerdekaan","tamalanrea","OC","R2","NOV"
"Friday","2018","1","5","17:00","pintu bandar udara internasional sultan hasanuddin","biringkanaya","TK","R4","R2"
"Friday","2018","1","5","20:30","paccerakkang","biringkanaya","OC","R2","NOV"
"Monday","2018","1","1","21:30","datuk ribandang","tallo","OC","R2","NOV"
"Saturday","2018","1","6","7:00","kapasa raya","tamalanrea","OC","R2","NOV"
"Saturday","2018","1","6","14:30","pattimura","ujung pandang","OC","R2","NOV"
"Friday","2018","1","5","9:00","sungai saddang","makassar","TK","R4","R2"
"Sunday","2018","1","7","18:00","perintis kemerdekaan 16","tamalanrea","TK","R2","R2"
"Friday","2018","1","5","14:30","perintis kemerdekaan","biringkanaya","T","R2","NOV"
"Thursday","2018","1","4","7:30","perintis kemerdekaan","biringkanaya","TL","TR","R4"
"Sunday","2018","1","7","2:12","pettarani","rappocini","TK","R4","R4"
"Saturday","2018","1","6","18:00","jipang raya","rappocini","OC","R2","NOV"
"Monday","2018","1","8","17:00","kapasa raya","tamalanrea","OC","R2","NOV"
"Tuesday","2018","1","9","19:00","malengkeri","tamalate","TL","R2","R2"
"Wednesday","2018","1","10","22:45","rajawali","mariso","TK","TR","R2"
