"day","year","month","date","time","address","district","accident_types","suspect_vehicle","victim_vehicle","lat","long"
"Monday","2018","1","1","Night","urip sumuharjo","panakkukang","T","R4","NOV","-5.1348243","119.4316818"
"Monday","2018","1","1","Night","sungai saddang baru","makassar","TL","R2","R2","-5.1468435","119.4250654"
"Monday","2018","1","1","Evening","boulevard","panakkukang","TL","R4","R4","-5.1557546","119.4411023"
"Monday","2018","1","1","Evening","urip sumuharjo","panakkukang","TK","R2","R2","-5.1348243","119.4316818"
"Monday","2018","1","1","Evening","tinumbu","bontoala","TM","R2","NOV","-5.1195488","119.4206733"
"Tuesday","2018","1","2","Morning","kecaping","manggala","OC","R2","NOV","-5.1719111","119.5075228"
"Tuesday","2018","1","2","Morning","urip sumuharjo","panakkukang","OC","R2","NOV","-5.1348243","119.4316818"
"Wednesday","2018","1","3","Morning","boulevard","panakkukang","TL","R4","NOV","-5.1557546","119.4411023"
"Monday","2018","1","1","Night","urip sumuharjo","panakkukang","OC","R2","NOV","-5.1348243","119.4316818"
"Tuesday","2018","1","2","Evening","insinyur sutami","tamalanrea","TK","R4","R2","-5.085731","119.4904613"
"Wednesday","2018","1","3","Morning","batara bira","biringkanaya","TK","R2","R2","-5.0884975","119.5063692"
"Wednesday","2018","1","3","Morning","perintis kemerdekaan","tamalanrea","OC","R2","NOV","-5.1402715","119.4832943739"
"Wednesday","2018","1","3","Morning","tol reformasi","panakkukang","TK","R2","R2","-5.1322943","119.4403875"
"Tuesday","2018","1","2","Morning","borong jambu raya","manggala","OC","TR","NOV","-5.1745192","119.4883637"
"Tuesday","2018","1","2","Afternoon","jenderal sudirman","ujung pandang","TL","R4","R2","-5.1345222","119.4137962"
"Thursday","2018","1","4","Evening","perintis kemerdekaan","biringkanaya","TL","R4","R4","-5.117784","119.5110136"
"Thursday","2018","1","4","Night","cendrawasih","mariso","TK","R2","R2","-5.155219","119.4137008"
"Thursday","2018","1","4","Evening","sam ratulangi","mariso","TL","R2","NOV","-5.1545549","119.4162792"
"Wednesday","2018","1","3","Morning","veteran utara","makassar","TM","R2","NOV","-5.1392193","119.4233132"
"Wednesday","2018","1","3","Night","perintis kemerdekaan","biringkanaya","TK","R2","R4","-5.117784","119.5110136"
"Friday","2018","1","5","Afternoon","kijang","makassar","TK","R2","R2","-5.1459573","119.4198203"
"Monday","2018","1","1","Evening","andi mappaodang","tamalate","OC","R2","NOV","-5.1732205","119.4158686"
"Friday","2018","1","5","Night","pajaiang","biringkanaya","OC","R2","NOV","-5.1048027","119.5252166"
"Thursday","2018","1","4","Night","dr. leimena","manggala","OC","R4","NOV","-5.1499864","119.4710753"
"Wednesday","2018","1","3","Evening","malengkeri","tamalate","TL","R2","R2","-5.1875239","119.4339559"
"Thursday","2018","1","4","Evening","perintis kemerdekaan","tamalanrea","OC","R2","NOV","-5.1402715","119.4832943739"
"Friday","2018","1","5","Afternoon","pintu bandar udara internasional sultan hasanuddin","biringkanaya","TK","R4","R2","-5.0700203","119.5319159"
"Friday","2018","1","5","Evening","paccerakkang","biringkanaya","OC","R2","NOV","-5.1239434","119.5224673"
"Monday","2018","1","1","Evening","datuk ribandang","tallo","OC","R2","NOV","-5.1288411","119.4304187"
"Saturday","2018","1","6","Morning","kapasa raya","tamalanrea","OC","R2","NOV","-5.1029771","119.4940907"
"Saturday","2018","1","6","Afternoon","pattimura","ujung pandang","OC","R2","NOV","-5.1361062","119.4066711"
"Friday","2018","1","5","Morning","sungai saddang","makassar","TK","R4","R2","-5.1468435","119.4250654"
"Sunday","2018","1","7","Evening","perintis kemerdekaan 16","tamalanrea","TK","R2","R2","-5.1346841","119.4971927"
"Friday","2018","1","5","Afternoon","perintis kemerdekaan","biringkanaya","T","R2","NOV","-5.117784","119.5110136"
"Thursday","2018","1","4","Morning","perintis kemerdekaan","biringkanaya","TL","TR","R4","-5.117784","119.5110136"
"Sunday","2018","1","7","Night","pettarani","rappocini","TK","R4","R4","-5.1510383","119.4374766"
"Saturday","2018","1","6","Evening","jipang raya","rappocini","OC","R2","NOV","-5.1778861","119.4504384"
